"MERIT"	"COMID"	"forest_mean"	"shrub_mean"	"grass_mean"	"wetland_mean"	"crop_mean"	"urban_mean"	"crop_nat_mean"	"ice_mean"	"barren_mean"	"water_mean"	"MAP"	"MAT"	"porosity"	"perm_harm_m2perd"	"aqf_thick_m"	"sand_mean"	"soc_mean"	"cec_mean"	"bdod_mean"	"nitrogen_mean"	"mean_elev"	"mean_slope"	"stream_density_perkm"	"max_order"	"order1_per"	"area_km2"
4	45078111	0	0	22.868714069982	0.355971946191005	46.7243354656264	1.24403954708023	20.6195842087273	0	8.18735476239311	0	1784.82189348208	26.7337718216554	0.176666667064	1.46779926773473e-13	440	32.670846750145	11.7410820167783	25.6271852920165	1.41596041901581	1.13763067655518	12.3589923175538	0.511038568452519	0.169402945844174	2	38.1931949732452	97.3327752508138
4	42037327	4.23791138076852	0	82.3680823680824	0	11.8863761720905	1.35135135135135	0.156278727707299	0	0	0	767.090716426368	2.23206591696591	0.181982569624	2.27222990099437e-14	359.1128144655	32.3208793542906	37.7482752761258	23.4511448598131	1.4358101104503	2.38417225998301	78.390727280376	0.413944708617053	0.264609879989005	1	100	74.4466211670967
8	86005827	0	0	0.397433806035777	0	0	0	0	12.7231167779167	86.8794494160475	0	325.717578691782	-16.7962261694522	0.189999997616	6.30957621535503e-16	303.532428964916	29.6572512660902	64.0430658417249	33.8612655602226	1.37033608846385	3.020169746162	249.124617085939	4.9738170759587	0.175487184950888	2	34.6104886180582	200.953034090871
3	34014982	5.87072374075984	0.49853876568678	93.6307374935534	0	0	0	0	0	0	0	425.890408709694	-8.42260992261135	0.1238636351795	3.91753894992947e-15	228.9732142855	45.5443345111896	80.1552052188095	31.5703563015312	1.39815959952886	2.69598704358068	366.592444490453	3.64548515705318	0.206297089510561	1	100	53.3603373400617
6	63007227	78.9595098979003	0	21.0404901020997	0	0	0	0	0	0	0	1441.42460016184	25.5903896587892	0.195481830145156	1.26581978870234e-14	144.824421951511	49.029356304598	5.22006848687912	8.09691953576275	1.42977290368794	0.718131274836149	303.472273977795	4.58369540508296	0.157256110948999	3	39.3071626279602	763.227903064335
6	62009619	100	0	0	0	0	0	0	0	0	0	2883.11374931744	24.5586022399019	0.203405439843734	3.2960940420557e-15	329.201621639561	40.1581118276728	7.33629948670104	8.73010569272166	1.36516149566647	0.652526864132728	258.073227785346	1.25099638489222	0.247708047819554	3	69.7223110405549	753.649489213327
4	45078812	0	0	0	0	99.5689655172414	0.431034482758621	0	0	0	0	1284.84424216055	26.881253598102	0.123333338027	9.26118456950091e-14	306.941176471	20.9800469798658	4.50368120805369	47.5625738255034	1.66277684563758	0.459212080536913	353.265740832838	2.59637834083041	0.149431301465605	1	100	46.5852241891795
1	17021592	0	0.0186287962415571	0.555004711785058	0	0	0	0	0	99.4263664919734	0	115.239542282958	28.4824157312738	0.187937311932808	4.65523478816177e-15	368.992648204395	49.4043075669188	3.40624995163603	38.9281180887337	1.592140763656	0.824210233987009	434.849610973065	0.512898931207184	0.184265646016313	4	66.8500953919944	2414.80852372697
1	15070111	0	0	0	0	0	0	0	0	100	0	24.5393624814711	25.5870989987826	0.109516374352515	7.94327982057413e-15	365.38358417195	51.963192534784	3.24370550657562	28.0224483101255	1.48415475676502	1.69227342205561	380.325420748283	1.05655999811487	0.183872715141904	2	55.0263816732264	606.6943747664
7	74032123	0	0	0.00513478325742424	0	99.5926529625488	0.402212254193806	0	0	0	0	751.149530536554	10.68989170849	0.128217125251445	5.18859467696069e-16	313.613639847938	10.1391639221516	5.60315401238879	23.7286891205729	1.57757392055784	0.816071326580414	537.057550406749	0.809116636626255	0.215890837935529	3	46.3135876544953	1941.95256347986
7	75032118	79.244572258812	0.623554485038215	20.1318732561498	0	0	0	0	0	0	0	1057.79952723452	14.5008987223969	0.146594731416799	3.60094072027784e-14	233.928853752381	31.2419173446175	11.82655208875	19.8513773632387	1.31154600995641	1.11432506002748	1790.98403070224	19.9481224754163	0.131352613220838	2	43.7835563630467	177.20141871484
2	28059259	0	0	2.25988700564972	0	0	0	0	0	0	97.7401129943503	247.232759692404	14.4121511253188	0.166086954915	3.0995913411417e-15	337.833333333	20.5315	14.355	19.169	1.441125	1.790425	-21.201950458008	0.0563313127598578	0.00639695851995915	1	100	39.7685997730682
1	15102607	0	0	0	0	0	0	0	0	100	0	18.7979722617405	27.5615528671829	0.219999998808	1e-13	513.121511985295	55.0676051629294	2.84229490600013	30.4003278682066	1.46704992880053	2.31818817269028	405.464955595929	0.351909070936425	0.175424290289789	2	81.2986904314358	92.2189275264534
8	81032761	0	75.838069273646	20.9046859716854	1.16751302429437	0	0	0	0	0	2.08973173037423	829.265900503069	-0.64426677969128	0.189999997616	6.30957621535503e-16	721.31326222712	40.0683447259693	130.733650575225	27.2268684218581	1.15006644733577	7.10337004423253	13.0340194804956	0.463686553649501	0.220674499157697	3	56.5684213033753	434.050868145545
5	56171696	100	0	0	0	0	0	0	0	0	0	1903.29951960158	8.8526105195331	0.152871289475	4.95506646399224e-14	211.6	42.0273779296875	121.464921875	21.4073974609375	1.07616943359375	3.1840263671875	577.249822050804	11.7437770006927	0.167249412648757	1	100	32.2995919888105
3	36006061	0	0	100	0	0	0	0	0	0	0	194.562007236705	-2.7185626877042	0.0849999994971	3.11709326872638e-14	174.666666667	36.9662602291326	13.2556045155063	15.4871399345336	1.43920253682488	1.21144926350246	2297.50318408799	6.29027457915919	0.160289738983268	1	100	38.0549421814959
1	11050302	0	0	98.6412731816058	0	1.30587707722606	0	0.0528497411681996	0	0	0	751.923382307997	23.0895525669149	0.103967129393509	6.45441781905635e-14	226.063536583219	48.4210291519013	6.47257911373265	23.1345568704766	1.38707983037392	0.498314106779393	1286.81395846097	1.60531957099095	0.209321481170499	2	43.236920339477	459.711333727224
3	35044297	0	29.8081469402778	51.4565062551687	0.879670818492164	0	0	0	0.0197921084975148	5.22562391752542	12.6102599600384	802.375521118625	-6.18227313409924	0.139147408626396	5.63972167232638e-15	471.822845671729	44.7325494330839	47.4853240537405	25.1114210892336	1.33143000353199	3.04654231973661	203.228855958021	18.2097784608223	0.184252533067629	3	62.7129976104666	449.218357105385
5	56099212	0	100	0	0	0	0	0	0	0	0	323.408294832305	20.9082887165347	0.172108360001	2.82596738425611e-14	386.1232876715	65.8525317348378	13.5754619181947	22.0471262341326	1.43002715091678	0.227317700987306	492.230273273854	1.1016290392798	0.181221065281039	1	100	43.8781337614858
7	75033097	0	50.5231689088191	48.3023702754644	0	1.17446081571642	0	0	0	0	0	366.990924168818	19.0827655494195	0.113987731136	4.36392418068367e-13	220.7	43.5126577840112	4.96726507713885	15.5024474053296	1.48190708274895	0.641819775596073	1633.02626299525	0.624287976809882	0.169389725036361	1	100	44.6148382239378
1	12068625	0	71.2536443148688	28.7463556851312	0	0	0	0	0	0	0	316.758274934017	21.55	0.16749999905	4.39740641377313e-14	539.9342105265	72.7382631578948	3.29608552631579	10.6919243421052	1.50190888157895	0.31359177631579	1088.39792642224	0.20165023183869	0.0968785362611919	1	100	47.4623935512042
7	72018978	0	0.839188134270102	95.5113192818111	3.64949258391881	0	0	0	0	0	0	1059.00067533985	-2.16188911626308	0.04142857116779	7.16195189454458e-15	212.398378582	56.5186304347826	23.655125	39.4204619565217	1.12579782608696	5.62567663043478	406.666608820287	2.00508973093906	0.143439279326411	1	100	31.6833574100074
4	42056182	0.669492136796132	0.146206822965295	85.9362232843642	0.00647042949246879	12.3597144723992	0.591817266476313	0.0285316269155973	0	0.237927652607441	0.0236163079833561	405.951575956826	6.06930217814675	0.147197350913559	9.80454552932879e-15	248.988816944345	47.5824382602979	7.73783305033669	19.0125426338193	1.43152394944466	0.758688056588783	622.461890283858	5.70925732278174	0.225630622361227	6	52.2328680430913	130644.797341527
1	12037573	0.526828549732037	4.10535959843825	93.3178719119506	0.0125157372368117	1.93209531142187	0.0828930804063588	0.00402818750359934	0	0.0157508529357839	0.00265677037471053	759.212637647015	18.48825050136	0.0144423215142917	8.12907087515829e-15	142.491639403494	52.8504386764091	4.68041761466297	7.82177631925328	1.51462908994189	0.374228943691439	1327.72347970277	4.3701179732906	0.169821365430857	5	47.5057028827828	10265.5563987565
6	64049213	43.5111040253211	4.42742811277529	36.2658636141927	0.0344149953379229	9.37236847373116	2.28703683851588	3.92965973994095	0	0.130015341568849	0.0421088586161645	1316.78049309564	15.7307190212249	0.138650732907088	4.80704847512795e-15	237.4108033412	36.5389992357163	8.37441279610276	16.2762028907994	1.33279216086513	0.817561388566971	1281.26364083865	14.0885727210007	0.208848211711526	5	49.4812182099981	10871.9431247736
5	52022587	13.7003218714243	0	78.253291015623	0	0.082347142863843	0	7.96403997008882	0	0	0	3794.71785555442	26.0701441520395	0.102500001434	9.44060668907288e-14	413.264705882	24.5639615794703	245.119712706423	20.7672576461952	1.03831983323996	1.15890608959692	19.0380758724608	1.011164757557	0.178666484000523	2	45.5249436163699	346.820210644262
1	13041086	34.5363686995395	0.0040895269535275	65.3595475072399	0.0999942662671853	0	0	0	0	0	0	1761.83499919723	24.9634771162227	0.219999998808	1e-13	313.995307886803	64.0000339560189	9.23991369974658	11.8273155503064	1.38278122984559	0.691579056333079	363.320467229766	2.04517629376842	0.182240155995626	3	41.5376024879124	500.659569266923
8	82015797	0.0378156697325299	18.1294399507773	64.7332229629099	8.34483805899949	0	0.00038125921044408	0	0	0.777929089370538	7.97637300899977	431.202172060885	-6.00350101806888	0.0747896717468259	2.27288662872507e-15	466.281503566096	42.2269292392768	132.223792782736	66.2548346788392	1.36699683179714	4.23127685794381	322.472898238242	2.0780256715091	0.21858137298634	6	48.4793399058822	53726.4545117461
4	43078981	44.4940924677589	0.00102134818287445	54.5131690074954	0.00705568002929648	0.0390323632166993	0.563534161970878	0.377705483142916	0	0	0.00438948820299658	1806.93215330428	17.8449565244053	0.0731739629630413	1.87617095505482e-14	204.649855201954	27.9084710541174	8.35248900505007	14.1801314912044	1.36058594860262	0.841680514339473	649.26906863507	22.188580735376	0.185981556790018	4	58.8090466001728	4431.45924672171
1	15130026	0	0	0	0	0	0	0	0	100	0	40.7787707318948	26.7700753434585	0.219999998808	1e-13	687	56.7405726600985	3.41649630541872	15.3931034482758	1.55280233990148	0.518836206896552	306.534027739366	0.643570394233089	0.0151715717534568	1	100	25.1775471442688
1	12069163	0	90.0621118012422	9.70496894409938	0	0	0	0	0	0.232919254658385	0	159.78517415624	19.3778115225618	0.1189062510191	2.27996542654725e-14	236.8716216215	63.9020298769771	4.93798330404218	13.0296968365554	1.4203132688928	0.487958699472759	1507.16168051237	1.98236864153181	0.0636642891663515	1	100	35.234190534979
