"MERIT"	"COMID"	"mean_nit"	"sd_nit"
8	83021579	0.0548974399802623	0.0157802514731033
5	51003206	0.13306271860103	0.0314843242398986
5	56095357	0.215024611266327	0.0748643993027571
1	16000914	0.266561221481343	0.0808977919584163
1	15116748	0.43585983608613	0.133000696610412
6	62007016	0.0686498123543469	0.0132742193356107
2	28030310	0.305410608295263	0.0650236895772719
2	23029652	1.4936358312473	0.312751637572613
1	17035225	1.32371606121921	0.266379555232684
5	56011257	0.115764687208255	0.016784287229412
5	52013962	0.196967600602674	0.0372960124427201
5	56075648	0.318636340992672	0.100530331159183
1	14087672	0.100735918640983	0.0184133439566864
6	63001541	0.640767171102176	0.162629426932343
4	45003298	0.239692071897446	0.0449419492712311
1	13059899	0.349299716578551	0.0748503911107557
6	62132152	0.210775780883034	0.0470970741173923
3	33000338	0.134357800355763	0.042280919084414
1	15023730	0.709708498075233	0.190732240466411
5	56014194	0.136413499853573	0.020028077757791
1	12035365	0.147691380410884	0.0256451583251164
3	32036962	0.0826913182466034	0.019979630119014
4	42012262	0.0868908298726888	0.0254561635598897
6	62079180	0.0788741804065669	0.0111477098132113
4	43001994	0.964843072668574	0.187053109983324
3	32036658	0.108358347477822	0.029131926793623
5	57001829	0.284593056097224	0.0467917761095852
7	74022038	0.268326411591877	0.0691328169586566
4	44045820	0.376631747689804	0.0700216762061747
7	72023789	0.0178832579792824	0.00396571306918033
4	42030699	0.500467826696518	0.114068860203532
2	22005630	0.677420791220355	0.168807171751122
5	52017444	0.363959629661247	0.0881062907634175
6	64076799	0.287764361434202	0.0496481121901791
2	29052149	0.452286042725374	0.121351578854348
3	31070098	0.246916344185861	0.0700137243551962
5	56095731	0.209524729249211	0.0713487853970308
8	86002440	0.224238724833746	0.0701771029732483
3	36005028	0.219141773880688	0.0560021788597617
2	28052449	0.72606407921623	0.223032993707246
1	12048437	0.334495128768656	0.0919165681085205
1	13078036	0.154692012282703	0.0400708144019982
6	65019737	0.141855353205303	0.0414074800744467
6	62042346	0.0852778602059026	0.0222537010515255
4	45053302	0.593691278500172	0.117407853038936
1	17048806	0.452973175392228	0.105989383796213
4	42061018	0.281327674617949	0.0641200429863815
2	25011361	0.0783672051950542	0.0136022752893124
3	31050585	0.392230555075299	0.0944073659969411
4	45009226	0.549016187150204	0.131113857146033
6	62019832	0.119575593195258	0.0258286635939932
6	63023537	0.353939706190493	0.0898836802824091
6	62120268	0.173305822315185	0.0415186556212318
3	31050254	0.156700322290584	0.0392129613476708
7	75045463	0.311378614137378	0.0725116207051993
6	66006185	0.566885641642692	0.171199657378802
1	15112845	0.977612666142771	0.299030343183865
1	11002654	0.951113163607702	0.268803530370651
6	66006694	0.31133535739448	0.087223773975826
1	13083728	0.121932961710859	0.0235321550088251
8	82012365	0.0630451827565953	0.0162074154092924
1	16009500	0.79184626030169	0.223431355645262
1	11055838	0.32217161375081	0.0741513885690586
4	42048480	0.122451051185331	0.032367199039292
6	64054295	0.10903512122897	0.0267310547368106
6	62060886	0.15427837879177	0.0346544130394518
4	45069297	1.2805501888398	0.266529800596834
1	17056821	0.511074542666886	0.110102550880056
3	32052423	0.126481241700909	0.0286271971617145
4	47005384	0.331524174683119	0.0883405788364334
3	35046417	0.113991632027018	0.0215744686629773
3	35056553	0.0661943752879535	0.0199889163433918
5	56112126	0.508137004282668	0.168166440863412
5	56113488	0.523961540292907	0.18359178384383
1	16051445	0.300613025369508	0.0635242538972824
7	74024671	4.57699479217419	0.590587742579536
7	72032477	0.0997589810614388	0.0255610540980834
1	17003668	0.583771600545256	0.16019314172029
1	15090190	0.351834655922967	0.115462414934919
6	62112223	0.163538399310673	0.029897035856674
3	31016181	0.0980865822480436	0.0266636462076413
1	15055130	0.455311851921791	0.134477409801138
4	44030234	0.356823728312442	0.0804059259755229
8	81015689	0.117187731174349	0.0270369433261272
1	12032328	0.143765329807139	0.0348683281341176
7	72015641	0.107961955351082	0.0329706438021413
5	56145248	0.24516735774878	0.0814719124902176
4	42050844	0.597942072592004	0.123019076500848
4	46011378	0.435418046951624	0.107502436582232
3	31058515	0.325062811661222	0.0796182798556468
4	43053631	1.17619181368327	0.234130734180818
7	71005153	0.0848108400832628	0.0277255447434185
6	64037862	0.724632693913917	0.157068502482626
7	77020493	0.577054825613452	0.146845366509668
2	22026520	0.391702849376087	0.070763555066261
1	17052243	0.357981444895955	0.0971650634919091
7	74051740	0.941203955491063	0.1687649207699
4	45027038	0.0782739184076366	0.0148976099850693
7	71027466	0.519947560208671	0.105762987777877
4	43027613	1.08808207971087	0.20522054916266
6	65021437	0.109391923936709	0.0323180744753281
2	24024892	0.098975583341072	0.0226626909306804
1	13037256	0.0997457757454898	0.018650869859309
2	21021072	3.79509254706075	0.91084560847517
2	29089533	0.667443934850771	0.18199554072737
7	73010811	0.943169791761376	0.200783698921133
4	42037139	0.660081568431735	0.158424832319759
2	23025552	0.363017228667817	0.0641429594949973
4	42023337	0.112579524802541	0.0167130746365138
2	29100499	0.972903937659347	0.264181541761814
3	34047328	0.07115425075764	0.0207242353975843
2	23011115	5.68680984330792	0.459105709174312
7	74002346	0.532516840030022	0.131865320712014
4	47016280	0.511711212574246	0.131329487507904
7	71042613	0.0479509129688745	0.0109397713322338
2	29044819	0.723053453026368	0.188212770906281
6	66021186	0.131514933803126	0.023217139820267
1	14081481	0.322497846217452	0.0819087860693687
6	65014379	1.00216183901909	0.300105854874801
6	63002533	0.378970643079763	0.0693146136354078
2	29081962	0.927788021030605	0.230531813630682
6	62074773	0.0839501605565684	0.0183661425199949
2	28041504	0.617276666078976	0.182472523239789
1	13002226	1.23355552245071	0.259335630507369
7	74045802	0.431688324874499	0.0425744618160996
2	28052795	0.720833132408786	0.184448148709097
2	22035487	1.90495957500922	0.452874312738764
1	18011816	0.138400940925472	0.0295748898535983
7	74050788	0.622321335877954	0.0940180835011155
1	13051740	0.105130969003858	0.0198892109150662
5	52012766	0.167305380021759	0.0287113978287247
2	26004659	0.174220896190756	0.0531433534688671
6	65011165	0.142141032609158	0.0382420570091824
6	64054937	1.15094222730281	0.224152199853615
3	32043060	0.0618089249775633	0.0147922573990952
3	35022375	0.103881008597729	0.0309042500986398
4	46027778	0.753457803327381	0.220372587069029
1	18010297	0.170198058632087	0.0375837050981313
5	53009944	0.0776168213532242	0.0203774119452835
4	42060187	0.633836121457759	0.177897743431496
5	56088567	0.205063381983404	0.0721651375892956
7	74007895	0.125196360754025	0.0173020715563916
3	31009400	0.0925343274554323	0.0257319824099359
7	73022527	0.145333096721234	0.0352509030891253
2	28059738	0.75340599531475	0.153805854554565
2	24022177	0.129011160764073	0.0380430533834957
4	42065137	0.530406141856252	0.0823798090604397
5	56035558	0.326681343710829	0.0971676646501129
2	29064860	0.423193161043802	0.109954450125682
5	56133111	0.166484948658532	0.123515938921416
5	56062546	0.350274075805565	0.102294413027797
7	71012350	0.0662421460782106	0.0201474915346254
6	64071893	1.00427761142154	0.222146816649866
2	29026798	0.275846849167668	0.072566840672127
4	46011234	0.66396863014135	0.161648266516749
2	28028643	0.447887138181431	0.092312556008141
5	56022423	0.46552091477304	0.13158897097152
1	13062348	0.112537819852121	0.0212113383213911
2	29062552	0.44419740123153	0.123418089538979
1	11006118	0.303270358944651	0.102682055319024
5	56019652	0.608552455932678	0.174236808257166
1	11024088	0.95349748883234	0.238284922838284
7	75019923	1.06153153696287	0.309078278109146
7	72043036	0.106348144765428	0.0230735690472338
3	31017273	0.0762620148786352	0.0216939633987804
5	56038411	0.29926732341992	0.10782372829296
5	56082842	0.228069136867367	0.0849775970227479
6	62024731	0.123251853532195	0.0320256529416199
4	45053336	1.5074300772346	0.342108244502006
1	12044506	0.36586855111768	0.0934783168909365
6	64046988	0.753202049454436	0.152370760970084
7	75004597	0.28004792824439	0.0512811857431902
2	29095181	0.832559864386898	0.210707115948121
4	48019148	0.63132464979017	0.164925863909183
2	29067763	0.683076024068111	0.172720442002664
1	11030012	0.800685159440343	0.218273869503031
1	13079068	0.133193235344891	0.0292646125716954
8	82000426	0.159386342716166	0.0471472650147581
6	65015785	1.0796242854989	0.218423617103239
2	29011434	2.84565745201114	0.663443074215863
7	75039503	0.145968843175579	0.0299533569777796
3	35031529	0.0980286050030629	0.023573497723256
5	56074290	0.217716032027462	0.0872317900153266
6	64014854	0.404893249381035	0.0953617173729963
2	29121903	0.76702673202979	0.204685274183872
2	29095173	0.344560331926839	0.0842317731373714
6	61015579	0.0944564816679563	0.0167245247400839
1	12021034	0.789556535373751	0.172429205686383
7	77043658	0.186725997827902	0.0354099833037115
6	66018821	0.338532312070854	0.110598274907986
3	31037113	0.0714014738979342	0.02015342954699
6	64017068	0.223454981911598	0.0556523384856963
5	56156287	0.487570103955251	0.16973755834837
1	15053466	0.320312308570995	0.084853688391333
7	74060842	0.149465336204297	0.0602210119644417
3	34048998	0.0951104072464182	0.0201325564997542
6	64045383	0.181097207659835	0.037735506611253
4	44011354	0.268823906245539	0.0410393471430007
1	15127306	0.816368147714419	0.229827519362472
8	81004321	0.133289048617788	0.0187419363747974
4	43042660	0.216743420802368	0.0419075458711568
5	53006425	0.123550986776893	0.0202684213278467
8	82022873	0.163567276339592	0.0431955991402522
2	29012986	0.576930303399844	0.147624092493711
7	71007033	0.106781407889512	0.0313568860428924
4	45043187	1.9376283660769	0.452571671728171
6	62054375	0.142524184891394	0.039499829065919
1	13036159	0.0840853235231981	0.0182439775401495
2	21019535	0.197007699856839	0.0337419170469911
1	13000414	0.174891583863844	0.0406015136157388
1	17007661	0.758004855670363	0.211526218589005
1	13018706	0.182787441149828	0.032703333300145
2	23004251	0.690129979034872	0.135500009176989
6	66010350	0.134289305589531	0.0347853638251042
4	45047647	1.15707644732801	0.255528132446027
1	11032222	1.17128966226779	0.306367533035656
4	49006925	0.155851680421666	0.0402615163460631
6	64002650	0.269840309028398	0.0644370578365693
3	31049803	0.44051348533027	0.0924916424516897
3	33002904	0.0733041730236551	0.0177054906449493
4	46034183	0.219067938661369	0.0638973757312566
3	32011903	0.0578375379239162	0.013987376223446
1	12055927	0.61678391346773	0.187405025964889
1	17060267	0.129516788931167	0.0210915635854265
4	45024501	0.223750876947986	0.0353972873576561
4	44047173	0.594713063211961	0.11604353301735
2	29047406	0.474946607563747	0.128862129489485
7	74034201	2.84437249053939	0.442024532338558
4	42051798	0.764315662196578	0.185814412181584
1	12054413	0.455601592976785	0.119567670372583
6	62025278	0.17994661412244	0.0476352638235092
7	71014378	0.1864338297331	0.0509032790356526
8	81029186	0.0873307623538407	0.0225909738606759
7	74034521	0.687837266400509	0.0582583817537802
2	28069379	0.482949731075548	0.161673964336343
6	62001836	0.112174129917449	0.0254772229224799
8	85007841	0.0486429110993424	0.0138231737017012
7	78018723	1.39421582134382	0.380638358123135
4	48023660	0.177669553414812	0.0422531057580092
3	33001185	0.0293640577482478	0.00824325860905613
1	13033929	0.384384933863121	0.0795343962303521
7	75043249	0.505601013533941	0.107714457867446
6	65004496	0.468386564821753	0.0950106974479294
3	31081249	0.408670937799879	0.113844593894588
1	18003511	0.145201014671315	0.0272217403845108
6	66012372	0.110320992783502	0.0212757028634921
5	56004824	0.317818077163241	0.0744873469104561
6	63034868	0.182772095043309	0.031184098675887
1	13001842	1.33587004695565	0.313290666093613
3	31006657	0.0896206611715032	0.0262927514980459
7	78024717	0.255416856211719	0.0665967558257562
6	61029526	0.305433221401043	0.0777665843791386
4	45090348	1.17089992030843	0.244695887982872
2	28055581	0.801585138262958	0.203010535729665
1	13073329	0.237131043732064	0.052920692440168
1	11067904	0.190148868447887	0.0477761412156158
1	11028678	0.202654426368363	0.0544232035636375
1	12077146	0.308856334242308	0.0734934021382728
6	62039605	0.0853542356392714	0.0182406977381327
7	78020739	0.771316345806628	0.20921148131787
4	42039774	0.158222741315753	0.0336845946573767
2	24033613	2.69557241900373	0.352135194629877
6	63029332	0.381535339647691	0.0695729063612789
6	63010800	0.455228855814039	0.108679600210289
4	42038600	0.894277701166122	0.201883220536836
7	75043355	0.188427987380548	0.0403764718171292
1	17005278	0.88984482570623	0.265504134331589
2	22041613	2.6409304945515	0.565793550559389
